week,odd_position_num,odd,H_score,A_score
37,5,3.85,2,2
38,2,3.85,1,1
1,4,3.42,0,1
2,6,3.85,5,1
3,1,3.58,0,1
4,2,3.83,1,1
5,9,3.85,3,1
6,7,3.85,0,1
7,5,3.88,1,0
8,9,3.76,1,1
9,10,3.85,3,1
10,3,3.88,2,1
11,8,3.32,2,1
12,6,3.83,1,0
13,7,3.85,3,2
14,6,3.85,1,1
15,5,3.29,0,2
16,10,3.83,0,1
17,7,3.85,3,1
18,1,3.15,0,2
19,5,3.85,0,0
20,6,3.41,1,1
21,2,3.83,2,0
22,7,3.88,1,2
23,10,3.88,1,0
24,7,3.85,0,0
25,6,3.85,2,0
26,5,3.76,1,0
27,6,3.76,2,1
28,3,3.58,2,0
29,4,3.85,1,0
30,2,3.83,3,1
31,6,3.85,3,1
32,6,3.88,1,0
33,5,3.85,0,0
34,8,3.83,0,0
35,4,3.88,2,0
36,5,3.76,3,2
37,8,3.41,1,1
38,1,3.76,2,1
1,5,3.88,1,2
2,6,3.85,6,0
3,6,3.83,0,1
4,3,3.76,1,1
5,1,3.85,0,0
6,7,3.83,2,1
7,1,3.83,2,0
8,7,3.85,0,2
9,1,3.85,1,3
10,2,3.88,5,0
11,4,3.85,3,0
12,10,3.83,1,1
13,3,3.85,1,0
14,9,3.85,1,2
15,7,3.85,0,2
16,8,3.76,1,1
17,2,3.85,0,1
18,9,3.76,0,1
19,4,3.27,1,0
20,9,3.85,1,1
21,4,3.83,1,0
22,7,3.53,2,2
23,6,3.88,1,1
24,10,3.45,1,1
25,3,3.85,3,0
26,1,3.85,2,1
27,8,3.88,1,0
28,8,3.83,0,0
29,7,3.76,1,0
30,5,3.45,2,3
31,10,3.85,0,0
32,10,3.88,1,0
33,8,3.85,0,1
34,1,3.83,1,1
35,9,3.76,3,0
36,10,3.88,1,0
37,5,3.85,3,0
38,5,3.28,1,1
1,9,3.88,1,0
2,6,3.53,1,2
3,9,3.76,1,0
4,1,3.88,2,0
5,5,3.85,0,1
6,1,3.85,0,2
7,9,3.85,1,1
8,4,3.85,0,0
9,8,3.85,1,1
10,3,3.88,2,2
11,4,3.76,2,0
12,2,3.58,2,2
13,9,3.3,2,0
14,8,3.83,3,2
15,2,3.76,2,1
16,7,3.85,1,2
17,2,3.85,1,1
18,7,3.85,0,1
19,10,3.53,1,1
20,2,3.83,1,4
21,7,3.58,1,1
22,2,3.85,0,1
23,8,3.85,1,0
24,4,3.85,0,2
25,3,3.85,1,1
26,5,3.76,0,1
27,7,3.85,1,1
28,2,3.83,2,3
29,8,3.43,3,1
30,4,3.76,0,0
31,1,3.53,4,0
32,5,3.88,1,0
33,5,3.85,1,1
34,4,3.88,2,1
35,2,3.85,3,1
36,9,3.88,2,1
37,7,3.45,2,3
38,9,3.58,0,0
1,2,3.83,2,1
2,1,3.85,2,1
3,2,3.76,3,1
4,7,3.42,3,2
5,5,3.83,0,1
6,9,3.85,3,2
7,7,3.76,2,2
8,6,3.43,0,2
9,4,3.76,0,1
10,8,3.47,3,3
11,8,3.85,2,3
12,4,3.76,0,1
13,10,3.88,1,3
14,4,3.21,0,2
15,1,3.88,4,0
16,6,3.85,3,1
17,2,3.83,0,2
18,6,3.45,1,0
19,6,3.58,1,0
20,7,3.76,2,4
21,8,3.83,0,0
22,4,3.85,1,2
23,3,3.42,3,2
24,6,3.85,2,0
25,5,3.83,2,2
26,9,3.88,0,2
27,7,3.88,5,0
28,3,3.88,1,0
29,9,3.47,0,0
30,8,3.83,3,1
31,6,3.88,2,0
