combination,balance
22432,1150000
32231,1100000
41042,1070000
02432,1070000
40042,1065000
12432,1015000
32230,985000
41142,890000
40142,885000
31230,865000
21512,850000
40114,820000
52100,810000
52001,805000
21522,805000
01423,805000
23432,780000
52000,780000
12424,745000
12414,740000
52101,725000
11424,710000
21511,705000
22512,695000
30422,690000
21201,690000
22433,690000
32432,675000
31432,665000
42042,660000
02414,655000
01432,655000
23042,645000
40124,645000
11423,640000
40014,635000
52200,635000
10051,635000
02531,630000
22511,620000
02424,620000
01424,620000
11432,615000
31422,600000
21502,600000
20512,595000
10052,590000
52011,590000
40214,590000
02530,580000
52110,580000
22442,580000
10050,570000
03432,570000
41242,570000
30403,570000
32242,565000
40024,565000
12430,560000
01531,560000
21521,550000
31042,550000
12531,550000
22522,540000
30423,540000
02433,535000
52010,535000
21510,535000
12433,530000
12315,530000
40242,530000
00051,530000
52111,525000
22502,525000
01530,520000
42142,520000
21501,520000
12053,520000
22422,520000
40043,515000
20522,515000
02532,510000
31423,505000
40341,505000
41124,500000
22501,500000
52201,495000
22042,490000
12530,490000
31231,485000
12404,480000
50001,475000
12305,475000
30432,475000
12052,475000
11531,470000
01532,470000
41114,465000
01511,465000
41043,460000
41341,460000
13052,455000
12532,455000
52210,455000
33222,450000
02442,450000
52020,450000
02053,450000
52021,445000
23433,445000
40342,445000
21520,440000
22531,435000
05004,435000
12431,435000
34420,430000
12153,430000
51001,430000
52300,430000
40041,430000
11414,425000
40432,425000
41024,425000
13432,425000
11530,420000
40340,420000
11052,420000
41014,420000
12434,420000
03052,415000
34421,415000
21532,415000
41342,415000
21531,415000
15004,415000
52031,410000
11532,405000
40143,405000
51101,405000
30413,400000
40422,400000
22510,400000
50011,400000
32423,400000
05014,395000
41041,390000
11434,385000
21500,385000
01414,380000
20511,380000
15014,380000
40040,380000
22315,380000
00052,380000
05104,375000
40403,375000
00335,375000
51011,375000
22532,375000
10152,375000
25320,375000
24042,375000
22424,375000
32422,375000
41340,375000
41432,370000
10151,370000
02052,370000
12050,370000
40423,370000
31522,370000
01510,370000
52301,365000
52302,365000
02050,365000
12442,365000
40224,365000
20235,365000
02153,360000
02434,360000
15104,355000
13152,355000
11511,350000
22530,350000
32433,350000
02511,350000
21530,350000
01434,350000
00425,350000
52310,345000
23142,345000
00050,345000
41143,345000
52211,340000
05114,340000
43042,340000
42432,335000
01335,335000
22441,335000
52030,335000
42242,335000
00415,335000
31511,335000
32332,335000
31512,335000
02423,335000
01521,330000
02512,330000
01522,330000
52131,330000
15114,325000
10335,325000
30042,325000
02405,325000
11522,320000
21235,320000
02315,320000
30231,320000
31413,320000
40413,320000
10235,320000
41040,320000
25321,315000
10425,315000
25004,315000
03152,315000
01425,315000
22430,315000
03050,315000
02430,315000
52312,310000
41422,310000
41423,310000
10150,310000
40314,310000
10424,305000
31520,305000
00235,305000
12405,305000
12423,305000
10053,305000
01244,305000
13050,305000
50101,305000
31510,305000
12152,305000
40243,300000
10415,300000
33432,300000
22305,300000
22500,300000
41214,295000
03442,295000
50104,295000
22443,295000
02415,295000
23052,295000
12512,295000
25031,290000
11521,290000
25032,290000
01512,290000
11051,290000
05320,290000
52311,290000
32522,290000
20335,290000
50014,290000
01415,290000
04303,290000
25014,290000
11335,285000
25121,285000
00532,285000
33232,285000
52120,285000
40050,285000
52121,285000
22521,285000
40052,285000
24223,280000
05303,280000
12415,280000
11425,280000
13424,280000
12511,275000
34430,275000
03443,275000
24142,275000
25104,275000
20042,275000
25021,275000
52330,275000
22434,275000
53030,275000
05204,270000
34431,270000
41224,270000
04205,270000
01520,270000
52002,270000
42050,270000
02404,270000
10524,270000
02305,270000
22053,265000
24232,265000
13443,265000
11510,265000
50114,265000
21335,265000
31332,265000
03531,260000
40324,260000
13442,260000
40051,260000
05024,260000
04313,260000
02431,260000
41243,260000
52331,260000
51031,260000
41052,260000
53031,255000
00531,255000
40034,255000
53100,255000
11415,255000
52230,255000
05323,255000
52130,250000
31403,250000
43142,250000
00151,250000
25132,250000
42051,250000
15024,250000
11524,250000
41050,250000
40152,250000
11501,250000
04440,250000
11043,250000
40150,250000
25114,250000
15204,250000
04050,245000
41413,245000
03433,245000
14205,245000
52102,245000
33433,245000
30052,245000
51111,245000
00405,245000
31521,245000
34422,245000
42340,245000
15303,240000
00053,240000
35021,240000
00135,240000
11225,240000
25131,240000
41314,240000
51040,240000
23531,240000
51104,240000
05214,240000
51014,240000
11235,240000
10135,235000
53102,235000
12325,235000
21513,235000
05124,235000
04215,235000
24422,235000
05313,235000
42150,235000
03434,235000
31433,235000
42430,235000
00061,230000
06100,230000
41051,230000
53130,230000
53000,230000
04441,230000
11315,230000
42422,230000
00610,230000
23152,230000
00530,230000
40234,230000
15323,230000
11520,230000
40104,225000
20510,225000
10061,225000
01235,225000
20502,225000
02335,225000
13414,225000
22431,225000
40151,225000
15124,225000
15214,225000
01061,220000
21533,220000
41152,220000
21523,220000
22405,220000
10610,220000
32042,220000
13531,220000
02253,220000
14440,220000
51041,220000
23442,220000
03424,215000
24432,215000
10532,215000
14215,215000
11061,215000
34400,215000
12501,215000
40440,215000
51114,215000
20425,215000
53131,215000
30230,215000
42151,215000
52231,215000
41324,215000
24052,210000
16100,210000
00161,210000
40141,210000
01610,210000
42341,210000
42342,210000
42431,210000
02452,210000
40441,210000
11053,210000
11512,210000
31142,210000
22415,210000
06101,210000
41150,210000
51021,210000
11050,205000
41440,205000
15123,205000
41032,205000
