combination,balance
00002,"(8154, 365, -6680000, (0, 0, 0, 0, 2))"
00020,"(8147, 372, -7625000, (0, 0, 0, 2, 0))"
00102,"(8144, 349, -4650000, (0, 0, 1, 0, 2))"
00101,"(8141, 378, -8435000, (0, 0, 1, 0, 1))"
00001,"(8140, 379, -8570000, (0, 0, 0, 0, 1))"
00000,"(8134, 385, -9380000, (0, 0, 0, 0, 0))"
00011,"(8133, 384, -9255000, (0, 0, 0, 1, 1))"
02100,"(8133, 358, -5875000, (0, 2, 1, 0, 0))"
00010,"(8132, 387, -9650000, (0, 0, 0, 1, 0))"
10010,"(8132, 386, -9520000, (1, 0, 0, 1, 0))"
01001,"(8132, 386, -9520000, (0, 1, 0, 0, 1))"
01002,"(8132, 354, -5360000, (0, 1, 0, 0, 2))"
10000,"(8131, 388, -9785000, (1, 0, 0, 0, 0))"
01000,"(8131, 388, -9785000, (0, 1, 0, 0, 0))"
00111,"(8131, 382, -9005000, (0, 0, 1, 1, 1))"
10001,"(8129, 389, -9925000, (1, 0, 0, 0, 1))"
11000,"(8128, 391, -10190000, (1, 1, 0, 0, 0))"
01010,"(8127, 392, -10325000, (0, 1, 0, 1, 0))"
20000,"(8126, 393, -10460000, (2, 0, 0, 0, 0))"
10002,"(8126, 364, -6690000, (1, 0, 0, 0, 2))"
00100,"(8125, 394, -10595000, (0, 0, 1, 0, 0))"
00110,"(8124, 395, -10730000, (0, 0, 1, 1, 0))"
11001,"(8122, 393, -10480000, (1, 1, 0, 0, 1))"
01101,"(8122, 389, -9960000, (0, 1, 1, 0, 1))"
02000,"(8121, 398, -11135000, (0, 2, 0, 0, 0))"
01100,"(8121, 398, -11135000, (0, 1, 1, 0, 0))"
10101,"(8121, 394, -10615000, (1, 0, 1, 0, 1))"
10100,"(8120, 399, -11270000, (1, 0, 1, 0, 0))"
00200,"(8119, 400, -11405000, (0, 0, 2, 0, 0))"
10011,"(8119, 393, -10495000, (1, 0, 0, 1, 1))"
00120,"(8119, 374, -8025000, (0, 0, 1, 2, 0))"
10110,"(8118, 393, -10500000, (1, 0, 1, 1, 0))"
01110,"(8114, 394, -10650000, (0, 1, 1, 1, 0))"
10020,"(8114, 372, -7790000, (1, 0, 0, 2, 0))"
11010,"(8113, 398, -11175000, (1, 1, 0, 1, 0))"
00021,"(8113, 376, -8315000, (0, 0, 0, 2, 1))"
01020,"(8112, 380, -8840000, (0, 1, 0, 2, 0))"
20001,"(8112, 373, -7930000, (2, 0, 0, 0, 1))"
11100,"(8111, 399, -11315000, (1, 1, 1, 0, 0))"
01011,"(8110, 403, -11840000, (0, 1, 0, 1, 1))"
02001,"(8109, 385, -9505000, (0, 2, 0, 0, 1))"
11101,"(8108, 388, -9900000, (1, 1, 1, 0, 1))"
00012,"(8107, 381, -8995000, (0, 0, 0, 1, 2))"
21001,"(8107, 337, -3275000, (2, 1, 0, 0, 1))"
02010,"(8105, 387, -9785000, (0, 2, 0, 1, 0))"
21000,"(8105, 385, -9525000, (2, 1, 0, 0, 0))"
00201,"(8105, 382, -9135000, (0, 0, 2, 0, 1))"
01200,"(8104, 386, -9660000, (0, 1, 2, 0, 0))"
10111,"(8103, 394, -10705000, (1, 0, 1, 1, 1))"
12000,"(8102, 385, -9540000, (1, 2, 0, 0, 0))"
20010,"(8100, 391, -10330000, (2, 0, 0, 1, 0))"
00210,"(8099, 385, -9555000, (0, 0, 2, 1, 0))"
11110,"(8095, 390, -10225000, (1, 1, 1, 1, 0))"
20101,"(8095, 339, -3595000, (2, 0, 1, 0, 1))"
01111,"(8093, 392, -10495000, (0, 1, 1, 1, 1))"
11011,"(8090, 403, -11940000, (1, 1, 0, 1, 1))"
20100,"(8090, 399, -11420000, (2, 0, 1, 0, 0))"
11002,"(8090, 349, -4920000, (1, 1, 0, 0, 2))"
00112,"(8090, 343, -4140000, (0, 0, 1, 1, 2))"
01102,"(8088, 352, -5320000, (0, 1, 1, 0, 2))"
01012,"(8087, 354, -5585000, (0, 1, 0, 1, 2))"
10012,"(8086, 360, -6370000, (1, 0, 0, 1, 2))"
20011,"(8083, 350, -5085000, (2, 0, 0, 1, 1))"
10102,"(8082, 359, -6260000, (1, 0, 1, 0, 2))"
10200,"(8081, 404, -12115000, (1, 0, 2, 0, 0))"
12001,"(8080, 364, -6920000, (1, 2, 0, 0, 1))"
12100,"(8080, 359, -6270000, (1, 2, 1, 0, 0))"
