b1,b2,b3,b4,b5,b6,colours,total
27,15,41,19,9,43,231,154
29,23,32,49,15,10,113,158
34,25,38,12,9,1,321,119
39,13,44,4,26,29,213,155
5,27,30,45,23,41,033,171
39,28,20,48,47,16,222,198
2,41,47,19,34,40,303,183
42,35,15,29,16,48,132,185
43,14,41,21,13,47,213,179
28,10,21,37,2,32,312,130
9,5,4,26,43,30,222,117
11,28,7,12,19,34,411,111
4,35,25,10,19,26,402,119
8,9,34,37,10,26,312,124
40,16,27,46,48,15,330,192
25,21,19,36,41,28,321,170
4,29,27,37,49,47,212,193
25,18,14,23,10,12,222,102
31,35,29,17,44,26,105,182
45,31,36,30,35,49,131,226
30,18,49,42,35,1,131,175
4,35,41,17,16,12,213,125
4,16,3,22,17,15,321,77
42,41,8,49,3,18,032,161
12,32,37,26,3,28,222,138
32,33,23,43,18,8,123,157
11,8,10,30,1,32,213,92
1,43,4,34,38,41,402,161
31,19,28,27,11,13,411,129
46,23,9,19,11,31,312,139
21,4,16,1,48,23,321,113
33,23,19,49,46,4,311,174
17,34,42,35,39,6,132,173
8,49,42,10,13,43,311,165
4,36,15,16,33,9,240,113
44,29,1,36,41,18,123,169
47,1,18,33,17,46,222,162
9,12,31,46,41,25,321,164
48,20,15,25,27,44,132,179
27,41,28,37,19,35,312,187
17,21,4,44,1,24,222,111
1,26,16,15,29,41,213,128
28,21,48,46,15,39,240,197
27,1,4,17,36,38,222,123
40,36,46,5,23,15,222,165
47,7,32,37,29,24,213,176
46,32,8,48,25,31,312,190
45,5,38,42,30,33,042,193
7,16,25,6,10,14,411,78
49,12,23,40,27,38,122,189
6,5,9,30,49,26,032,125
5,42,40,41,44,38,114,210
27,20,17,33,9,29,033,135
7,43,28,18,9,17,321,122
34,48,4,42,24,29,231,181
15,7,43,23,26,27,222,141
21,9,41,28,3,49,131,151
32,43,44,30,16,41,213,206
1,37,2,38,41,11,204,130
40,45,43,41,7,3,321,179
33,15,2,30,36,19,141,135
11,43,9,13,19,29,312,124
37,47,3,22,15,31,321,155
13,25,27,31,39,12,330,147
34,4,22,32,25,16,501,133
48,24,31,44,21,17,132,185
17,48,8,26,14,37,114,150
33,41,4,17,35,25,213,155
17,5,36,13,1,10,312,82
17,15,25,46,45,36,231,184
31,46,2,42,12,36,231,169
31,41,35,29,37,9,213,182
28,20,49,39,32,3,122,171
21,2,36,25,42,17,132,143
1,43,11,36,42,18,231,151
21,41,23,40,14,18,123,157
9,29,27,3,21,11,042,100
