b1,b2,b3,b4,b5,b6,none_T100,green_T100,red_T100,blue_T100,none_LD,green_LD,red_LD,blue_LD,colours,total
31,12,13,1,16,22,31,26,25,18,2,1,0,4,510,95
1,8,10,17,27,7,31,26,25,18,3,2,0,5,312,70
42,20,45,12,23,13,31,27,24,18,4,0,1,6,132,155
17,12,24,5,16,15,30,28,24,18,5,0,2,7,132,89
37,13,9,5,18,41,31,28,24,17,0,1,3,8,222,123
21,27,39,35,30,43,30,29,24,17,1,0,4,9,141,195
40,39,19,41,10,46,30,29,24,17,2,1,0,10,411,195
35,5,47,38,22,9,29,29,24,18,3,2,1,0,114,156
9,31,49,3,8,36,28,30,24,18,4,0,2,1,131,136
41,19,43,30,21,1,27,30,25,18,5,1,0,2,321,155
38,16,1,11,4,26,27,30,25,18,0,2,1,3,303,96
24,26,16,9,8,46,27,30,25,18,0,3,2,4,222,129
28,35,26,43,39,17,27,29,25,19,1,4,3,0,213,188
49,26,41,16,19,6,28,28,25,19,0,5,4,1,212,157
16,15,20,26,5,1,28,28,24,20,1,6,5,0,213,83
17,30,41,38,48,25,28,28,23,21,2,7,6,0,123,199
21,22,18,34,9,2,27,29,23,21,3,0,7,1,231,106
21,22,18,34,9,2,27,29,23,21,0,1,8,2,231,106
24,20,39,45,44,49,27,29,23,21,1,0,9,3,032,221
38,1,31,19,14,4,26,29,24,21,2,1,0,4,402,107
40,18,33,42,2,13,26,29,24,21,3,0,1,5,231,148
7,44,4,8,24,27,27,28,24,21,0,1,2,6,222,114
23,10,5,39,25,2,27,28,24,21,1,2,3,0,213,104
7,4,26,8,9,28,26,28,25,21,2,3,0,1,312,82
35,36,5,42,31,26,26,28,24,22,3,4,1,0,123,175
20,27,10,45,30,25,26,28,24,22,4,0,2,1,231,157
49,25,18,4,43,14,26,28,25,21,5,1,0,2,311,153
41,9,44,3,25,11,25,28,25,22,6,2,1,0,123,133
5,4,37,40,7,32,25,27,26,22,7,3,0,1,402,125
48,46,1,38,17,37,25,27,26,22,8,4,0,2,312,187
47,22,48,21,26,38,25,26,26,23,9,5,1,0,123,202
38,28,12,37,32,46,24,26,27,23,10,6,0,1,312,193
26,3,19,39,6,45,23,27,27,23,11,0,1,2,141,138
24,33,17,10,36,6,23,28,26,23,12,0,2,3,141,126
49,44,10,41,40,19,22,28,27,23,13,1,0,4,302,203
15,21,20,29,13,43,23,27,27,23,0,2,1,5,222,141
3,2,23,19,6,29,23,26,27,24,1,3,2,0,123,82
36,28,38,48,31,21,23,26,27,24,2,0,3,1,231,202
16,49,5,22,46,25,23,26,28,23,3,1,0,2,401,163
30,15,24,11,7,20,23,27,27,23,4,0,1,3,132,107
28,32,2,1,12,18,24,27,26,23,0,1,2,4,222,93
41,28,10,5,4,48,23,27,27,23,1,2,0,5,312,136
34,32,6,10,3,26,23,27,27,23,0,3,1,6,222,111
12,4,10,16,45,3,24,27,26,23,0,4,2,7,330,90
3,19,46,44,25,33,23,27,27,23,1,5,0,8,321,170
45,42,25,20,12,6,23,27,27,23,2,0,1,9,141,150
4,2,48,33,14,12,22,28,27,23,3,0,2,10,132,113
22,5,42,37,6,31,22,27,28,23,4,1,0,11,321,143
25,28,19,39,32,24,22,27,29,22,5,2,0,12,321,167
19,22,36,6,37,27,22,27,29,22,0,3,1,13,330,147
40,30,38,45,28,46,21,27,30,22,1,4,0,14,321,227
22,32,29,23,11,16,21,27,30,22,2,5,1,0,204,133
44,41,16,9,8,47,21,27,29,23,3,6,2,0,114,165
40,37,42,49,27,19,21,27,29,23,4,7,0,1,320,214
21,30,22,33,49,39,21,28,29,22,5,0,1,2,140,194
22,3,25,2,37,43,21,28,30,21,6,1,0,3,411,132
49,34,18,13,24,48,20,29,30,21,7,0,1,4,230,186
7,34,35,37,39,16,20,29,30,21,8,1,0,5,411,168
17,7,35,20,16,33,19,29,30,22,9,2,1,0,213,128
38,48,22,18,31,44,20,28,30,22,0,3,2,1,222,201
21,13,39,9,42,18,20,29,30,21,1,0,3,2,150,142
11,44,18,19,5,23,20,28,30,22,2,1,4,0,114,120
27,12,44,6,4,17,19,29,30,22,3,0,5,1,132,110
21,11,38,2,18,46,19,28,30,23,4,1,6,0,123,136
25,1,40,37,9,28,19,27,31,23,5,2,0,1,510,140
37,24,1,13,40,15,19,27,31,23,6,3,0,2,420,130
31,10,45,1,32,24,19,27,31,23,7,4,0,3,321,143
37,13,19,10,8,47,19,26,32,23,8,5,0,4,402,134
46,2,48,45,38,35,19,26,32,23,9,6,1,0,123,214
43,23,5,10,19,9,19,26,32,23,10,7,0,1,312,109
3,42,39,34,47,48,19,26,32,23,11,0,1,2,141,213
43,4,19,30,49,7,19,26,32,23,12,1,0,3,410,152
36,5,13,9,20,26,18,26,32,24,13,2,1,0,123,109
42,19,30,2,46,43,18,26,32,24,14,3,0,1,321,182
17,28,35,43,47,45,18,25,32,25,15,4,1,0,213,215
31,27,18,47,42,19,18,26,32,24,16,0,2,1,231,184
8,42,33,2,27,30,17,27,32,24,17,0,3,2,042,142
25,17,4,39,1,41,17,26,33,24,18,1,0,3,312,127
47,4,37,42,10,40,16,26,34,24,19,2,0,4,411,180
14,18,27,17,29,25,16,26,34,24,20,3,1,0,123,130
9,33,1,14,3,12,16,27,33,24,21,0,2,1,141,72
35,32,7,4,15,13,16,27,34,23,22,1,0,2,312,106
5,41,32,1,19,44,16,27,34,23,23,2,1,0,204,142
44,22,47,26,7,45,16,27,34,23,24,3,2,0,213,191
19,5,45,21,37,1,16,27,35,22,25,4,0,1,321,128
10,17,49,5,36,30,17,27,34,22,0,5,1,2,122,147
18,36,22,9,30,11,17,28,34,21,1,0,2,3,141,126
42,10,29,7,37,49,16,28,35,21,2,1,0,4,311,174
23,29,7,2,17,4,16,28,34,22,3,2,1,0,204,82
16,49,46,13,47,20,15,28,35,22,4,3,0,1,302,191
5,28,26,41,38,6,15,28,34,23,5,4,1,0,114,144
5,33,48,42,25,43,15,28,34,23,6,0,2,1,231,196
49,26,21,43,36,4,15,28,34,23,0,1,3,2,221,179
17,44,47,19,5,31,15,28,33,24,1,2,4,0,204,163
12,45,1,47,40,42,15,28,33,24,2,0,5,1,231,187
22,5,6,11,17,23,15,27,33,25,3,1,6,0,114,84
7,39,46,37,14,12,15,27,34,24,4,2,0,1,321,155
16,48,27,25,37,21,16,26,34,24,0,3,1,2,330,174
11,32,14,41,8,23,15,26,34,25,1,4,2,0,006,129
3,48,17,27,5,13,15,26,34,25,2,0,3,1,132,113
13,48,40,37,45,42,16,26,33,25,0,1,4,2,330,225
38,6,45,39,18,21,16,27,32,25,1,0,5,3,051,167
4,48,3,26,8,16,17,26,32,25,0,1,6,4,222,105
7,5,25,29,38,22,18,25,32,25,0,2,7,5,303,126
14,24,43,30,5,40,18,25,32,25,0,3,8,6,222,156
36,16,30,26,40,18,18,25,32,25,1,0,9,7,231,166
40,28,11,35,32,17,18,25,31,26,2,1,10,0,204,163
44,48,5,46,8,16,18,25,31,26,3,2,11,0,213,167
35,45,24,47,32,41,18,24,31,27,4,3,12,0,024,224
13,48,42,35,46,12,18,25,30,27,5,0,13,1,231,196
14,4,30,33,45,42,17,26,30,27,6,0,14,2,141,168
27,37,49,23,43,12,17,26,30,27,0,1,15,3,221,191
41,5,30,31,39,46,18,26,30,26,0,2,16,4,222,192
47,5,6,2,42,38,17,26,30,27,1,3,17,0,024,140
5,37,15,18,32,35,17,26,30,27,2,4,18,0,123,142
16,11,37,39,24,40,17,26,31,26,3,5,0,1,321,167
21,16,6,28,17,32,18,25,31,26,0,6,1,2,222,120
18,49,34,46,11,26,18,25,31,26,0,7,2,3,212,184
41,12,25,5,2,3,18,24,31,27,1,8,3,0,123,88
13,3,41,10,40,22,18,24,31,27,2,9,0,1,411,129
10,7,21,31,17,39,18,23,32,27,3,10,0,2,321,125
13,3,28,12,43,17,17,23,33,27,4,11,0,3,321,116
35,39,32,15,34,48,17,24,33,26,5,0,1,4,132,203
22,5,36,49,46,41,18,24,32,26,0,1,2,5,212,199
30,23,47,44,8,29,18,24,32,26,1,2,3,0,015,181
26,49,43,20,1,25,18,23,33,26,2,3,0,1,302,164
19,34,29,28,7,41,18,23,33,26,3,4,0,2,402,158
1,29,21,2,7,32,18,23,33,26,4,5,1,0,213,92
29,45,34,38,19,6,19,23,32,26,0,6,2,1,222,171
19,48,44,3,2,7,20,23,31,26,0,7,3,2,222,123
24,29,20,11,2,6,20,23,31,26,1,8,4,0,024,92
18,9,25,36,14,46,20,24,30,26,2,0,5,1,231,148
39,49,2,43,21,3,20,24,30,26,3,0,6,2,131,157
24,32,38,41,39,15,21,23,30,26,0,1,7,3,033,189
24,48,36,25,39,14,21,24,29,26,1,0,8,4,141,186
43,4,5,21,2,45,21,24,29,26,0,1,9,5,222,120
42,45,39,32,33,38,21,25,29,25,1,0,10,6,042,229
3,44,1,30,29,2,21,24,29,26,2,1,11,0,123,109
16,2,40,35,32,43,22,24,28,26,0,2,12,1,303,168
17,9,4,31,3,20,23,23,28,26,0,3,13,2,222,84
29,5,3,41,20,16,22,23,28,27,1,4,14,0,114,114
3,33,26,36,35,44,23,23,27,27,0,5,15,1,033,177
27,46,40,23,7,19,22,23,28,27,1,6,0,2,411,162
45,12,29,22,49,31,22,23,28,27,0,7,1,3,221,188
12,15,14,46,34,4,22,23,28,27,1,8,0,4,321,125
43,44,34,13,12,28,22,22,29,27,2,9,0,5,411,174
45,19,30,23,40,43,22,21,30,27,3,10,0,6,321,200
33,18,23,4,17,3,22,22,29,27,4,0,1,7,132,98
49,31,37,8,17,30,23,22,28,27,0,1,2,8,212,172
41,24,10,34,20,7,22,22,29,27,1,2,0,9,312,136
23,10,28,39,18,30,22,23,28,27,2,0,1,10,231,148
12,22,44,31,16,11,22,23,29,26,3,1,0,11,312,136
48,7,21,9,16,5,22,24,29,25,4,0,1,12,231,106
31,3,5,25,48,30,22,25,28,25,5,0,2,13,231,142
8,24,34,30,42,41,22,25,28,25,6,0,3,14,132,179
28,23,38,14,33,46,22,25,27,26,7,1,4,0,213,182
4,2,47,15,5,40,22,24,27,27,8,2,5,0,213,113
31,17,39,47,49,30,23,24,26,27,0,3,6,1,122,213
18,20,22,15,5,28,24,24,26,26,0,4,7,2,222,108
27,21,7,30,17,15,23,25,26,26,1,0,8,3,141,117
19,45,40,42,23,30,23,25,26,26,2,0,9,4,231,199
31,7,37,15,19,47,23,25,27,25,3,1,0,5,411,156
20,31,13,4,21,9,23,24,28,25,4,2,0,6,321,98
40,49,20,19,31,38,23,24,29,24,5,3,0,7,302,197
47,33,45,23,4,21,23,25,28,24,6,0,1,8,132,173
40,2,17,48,4,38,23,25,27,25,7,1,2,0,213,149
35,26,41,43,20,1,23,25,26,26,8,2,3,0,204,166
15,14,17,32,11,8,23,25,25,27,9,3,4,0,015,97
38,29,42,4,20,2,23,25,25,27,10,4,5,0,114,135
38,2,36,35,32,6,23,25,24,28,11,5,6,0,024,149
49,22,31,25,34,30,23,24,25,28,12,6,0,1,410,191
27,36,12,46,5,29,23,25,24,28,13,0,1,2,132,155
21,47,29,14,25,45,23,25,24,28,14,1,2,0,123,181
2,32,9,23,48,37,23,25,23,29,15,2,3,0,123,151
47,37,8,19,40,43,23,25,24,28,16,3,0,1,402,194
24,10,46,38,44,43,23,24,25,28,17,4,0,2,312,205
48,18,11,42,40,7,23,24,25,28,18,0,1,3,231,166
31,8,47,23,17,5,23,24,24,29,19,1,2,0,105,131
19,33,8,10,38,43,23,24,24,29,20,2,0,1,312,151
44,40,16,48,2,20,23,24,24,29,21,3,1,0,213,170
41,20,39,3,2,46,23,23,24,30,22,4,2,0,123,151
34,4,14,43,3,23,23,23,24,30,23,5,0,1,312,121
41,48,29,44,16,13,23,23,24,30,24,6,1,0,213,191
14,3,33,7,31,24,23,24,24,29,25,0,2,1,231,112
16,20,39,45,14,42,23,25,23,29,26,0,3,2,132,176
31,10,3,46,26,17,22,25,24,29,27,1,0,3,312,133
26,33,48,15,2,45,22,25,24,29,28,0,1,4,042,169
6,48,37,16,34,49,22,25,24,29,29,1,0,5,320,190
32,21,47,5,48,44,22,25,24,29,30,2,1,0,024,197
31,32,34,14,12,28,22,25,24,29,31,3,0,1,312,151
24,33,46,27,45,4,22,26,24,28,32,0,1,2,240,179
8,49,29,20,42,10,22,25,24,29,33,1,2,0,113,158
24,26,41,18,44,6,22,25,24,29,0,2,3,1,033,159
34,16,15,28,13,12,22,25,25,28,1,3,0,2,420,118
23,17,41,3,19,43,22,24,25,29,2,4,1,0,213,146
3,16,10,42,17,19,22,24,26,28,3,5,0,1,321,107
13,8,47,41,3,21,22,24,25,29,4,6,1,0,123,133
38,27,34,40,31,49,21,24,26,29,5,7,0,1,311,219
31,36,30,20,5,2,21,24,26,29,6,8,1,0,123,124
27,45,25,30,1,13,22,23,26,29,0,9,2,1,330,141
41,32,3,31,21,15,21,24,26,29,1,0,3,2,132,143
32,30,45,43,22,24,21,24,26,29,2,0,4,3,231,196
12,4,22,3,47,24,20,25,26,29,3,0,5,4,231,112
45,40,43,8,14,17,19,25,26,30,4,1,6,0,213,167
48,32,19,39,38,47,18,25,26,31,5,2,7,0,123,223
41,21,28,4,26,37,18,24,27,31,6,3,0,1,312,157
13,32,35,6,45,30,18,25,27,30,7,0,1,2,132,161
22,4,39,6,49,3,18,26,27,29,8,0,2,3,230,123
14,43,36,12,3,17,18,27,27,28,9,0,3,4,132,125
12,15,26,36,18,45,18,27,27,28,10,0,4,5,051,152
42,1,29,13,30,15,18,27,27,28,11,0,5,6,231,130
28,26,41,38,45,6,17,27,27,29,12,1,6,0,123,184
37,2,49,19,25,7,16,27,28,29,13,2,0,1,401,139
22,6,36,17,15,12,16,28,28,28,14,0,1,2,141,108
8,18,5,43,17,48,16,28,28,28,15,1,2,0,123,139
5,34,40,35,13,17,17,28,27,28,0,2,3,1,303,144
33,32,16,7,42,6,16,29,27,28,1,0,4,2,231,136
7,9,22,21,6,11,15,30,27,28,2,0,5,3,231,76
5,9,33,19,18,46,15,31,27,27,3,0,6,4,231,130
7,49,12,5,48,9,15,32,26,27,4,0,7,5,131,130
17,16,2,12,26,19,15,32,25,28,5,1,8,0,213,92
46,47,41,28,22,38,16,32,24,28,0,2,9,1,303,222
14,7,12,10,26,41,16,31,24,29,1,3,10,0,213,110
2,19,37,41,34,40,15,31,25,29,2,4,0,1,402,173
9,12,25,33,7,18,15,32,25,28,3,0,1,2,240,104
14,11,16,20,7,49,15,32,24,29,4,1,2,0,203,117
18,27,46,35,3,17,15,33,23,29,5,0,3,1,132,146
16,10,15,20,27,25,15,33,24,28,6,1,0,2,321,113
4,37,5,10,42,12,14,33,25,28,7,2,0,3,321,110
47,13,20,36,21,5,13,33,25,29,8,3,1,0,123,142
7,41,33,28,20,34,13,33,26,28,9,4,0,1,312,163
34,7,19,31,35,27,13,32,27,28,10,5,0,2,411,153
12,20,49,37,40,47,14,31,27,28,0,6,1,3,212,205
46,48,3,43,18,40,14,31,27,28,0,7,2,4,330,198
2,32,34,41,48,7,14,30,27,29,1,8,3,0,213,164
48,29,47,21,31,35,13,30,27,30,2,9,4,0,123,211
5,21,4,28,32,22,13,29,28,30,3,10,0,1,312,112
14,40,47,22,4,42,13,29,29,29,4,11,0,2,312,169
1,33,40,18,48,44,12,30,29,29,5,0,1,3,231,184
42,36,37,14,10,30,11,31,29,29,6,0,2,4,231,169
2,39,20,7,18,22,12,31,29,28,0,1,3,5,222,108
10,46,35,16,42,39,11,31,30,28,1,2,0,6,321,188
29,11,12,30,14,35,11,31,29,29,2,3,1,0,024,131
21,24,15,30,46,27,10,32,29,29,3,0,2,1,150,163
14,11,42,41,12,16,10,32,28,30,4,1,3,0,123,136
32,42,31,45,39,28,10,33,27,30,5,0,4,1,231,217
26,11,27,37,42,4,11,33,26,30,0,1,5,2,222,147
3,33,42,5,27,15,11,33,26,30,1,0,6,3,051,125
46,38,3,33,13,6,10,34,26,30,2,0,7,4,231,139
27,1,33,41,44,37,11,34,25,30,0,1,8,5,222,183
30,21,4,43,47,26,12,33,25,30,0,2,9,6,222,171
