none_T100,green_T100,red_T100,blue_T100,green_LD,red_LD,blue_LD
25,27,23,25,7,1,0
25,27,23,25,8,2,1
25,26,24,25,9,0,2
24,26,25,25,10,0,3
25,26,25,24,11,1,4
25,26,25,24,12,0,5
24,27,25,24,0,1,6
25,27,24,24,1,2,7
25,26,25,24,2,0,8
25,26,24,25,3,1,0
26,26,23,25,4,2,1
26,26,22,26,5,3,0
26,26,22,26,6,4,0
25,27,22,26,0,5,1
26,27,21,26,1,6,2
26,28,21,25,0,7,3
26,29,21,24,0,8,4
26,29,21,24,1,0,5
26,29,21,24,0,1,6
26,29,21,24,0,2,7
26,29,21,24,1,0,8
26,28,21,25,2,1,0
26,28,22,24,3,0,1
25,28,22,25,4,1,0
24,28,23,25,5,0,1
24,28,23,25,6,1,2
24,28,24,24,7,0,3
23,29,24,24,0,1,4
23,30,24,23,0,2,5
23,31,24,22,0,3,6
23,32,24,21,0,4,7
22,33,24,21,0,5,8
22,33,24,21,0,6,9
21,34,24,21,0,7,10
21,35,24,20,0,8,11
21,34,25,20,1,0,12
21,34,25,20,2,0,13
21,34,26,19,3,0,14
21,35,26,18,0,1,15
21,36,26,17,0,2,16
22,36,25,17,1,3,17
21,37,25,17,0,4,18
20,37,25,18,1,5,0
20,36,25,19,2,6,0
21,36,24,19,3,7,1
20,36,25,19,4,0,2
21,35,25,19,5,1,3
21,35,25,19,6,0,4
21,36,25,18,0,1,5
20,36,26,18,1,0,6
21,35,26,18,2,1,7
21,35,26,18,3,2,0
22,35,25,18,4,3,1
22,35,25,18,5,0,2
22,34,26,18,6,0,3
22,34,26,18,7,1,0
22,34,26,18,8,2,1
22,34,26,18,0,3,2
22,33,26,19,1,4,0
22,32,26,20,2,5,0
22,32,26,20,3,6,1
22,33,26,19,0,7,2
23,33,26,18,1,8,3
23,32,27,18,2,0,4
23,33,26,18,0,1,5
22,33,26,19,1,2,0
22,32,27,19,2,0,1
21,32,28,19,3,0,2
21,32,28,19,4,0,3
21,32,28,19,5,1,0
21,31,29,19,6,0,1
21,32,29,18,0,1,2
20,33,29,18,0,2,3
20,32,30,18,1,0,4
20,32,30,18,0,1,5
19,32,30,19,1,2,0
19,32,30,19,2,3,1
19,32,30,19,0,4,2
19,33,30,18,0,5,3
18,33,31,18,1,0,4
18,33,31,18,2,0,5
18,32,31,19,3,1,0
18,33,30,19,0,2,1
19,32,30,19,1,3,2
19,31,31,19,2,0,3
19,31,31,19,3,1,4
19,31,32,18,4,0,5
18,31,33,18,5,0,6
18,30,34,18,6,0,7
18,30,35,17,7,0,8
18,30,35,17,8,1,0
18,30,35,17,0,2,1
19,29,35,17,1,3,2
19,28,35,18,2,4,0
19,28,34,19,3,5,0
19,29,33,19,0,6,1
20,29,32,19,1,7,2
20,29,32,19,2,0,3
19,30,32,19,0,1,4
20,30,31,19,1,2,5
20,31,31,18,0,3,6
19,31,31,19,1,4,0
19,31,31,19,2,0,1
19,31,30,20,3,1,0
18,31,31,20,4,0,1
19,31,30,20,5,1,2
19,30,30,21,6,2,0
18,30,30,22,7,3,0
18,31,29,22,0,4,1
19,31,29,21,1,5,2
18,31,30,21,2,0,3
18,31,30,21,3,1,0
18,31,31,20,4,0,1
18,30,32,20,5,0,2
17,30,32,21,6,1,0
17,29,33,21,7,0,1
17,28,34,21,8,0,2
18,28,33,21,9,1,3
18,28,33,21,0,2,4
19,27,33,21,1,3,5
19,28,32,21,0,4,6
19,28,32,21,1,5,0
19,29,31,21,0,6,1
19,29,32,20,1,0,2
19,30,31,20,0,1,3
18,30,31,21,1,2,0
18,30,30,22,2,3,0
18,30,30,22,0,4,1
18,29,30,23,1,5,0
19,28,30,23,2,6,1
20,27,30,23,3,7,2
20,26,31,23,4,0,3
20,25,32,23,5,0,4
20,24,32,24,6,1,0
20,24,32,24,0,2,1
20,24,31,25,1,3,0
20,25,30,25,0,4,1
20,25,29,26,1,5,0
20,25,29,26,0,6,1
20,25,29,26,0,7,2
19,25,30,26,1,0,3
19,24,30,27,2,1,0
19,24,31,26,3,0,1
19,24,32,25,4,0,2
18,24,33,25,5,0,3
18,24,33,25,6,0,4
18,24,33,25,7,1,5
18,24,33,25,8,0,6
19,23,33,25,9,1,7
19,24,32,25,0,2,8
18,24,32,26,1,3,0
19,24,32,25,2,4,1
18,25,32,25,0,5,2
18,25,32,25,1,0,3
18,26,31,25,0,1,4
18,26,32,24,1,0,5
17,26,32,25,2,1,0
17,25,32,26,3,2,0
17,26,32,25,0,3,1
18,26,32,24,1,4,2
17,27,32,24,0,5,3
18,26,32,24,1,6,4
