b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
14,15,10,29,13,24,4,0,2,2,20,5632,19,0,6,18,56,1410,14,0,1,4,155,395,222,105
41,4,49,45,14,34,5,1,3,3,21,5633,20,0,7,19,57,1411,15,0,2,5,156,396,212,187
10,32,25,15,11,7,6,2,4,4,22,5634,21,0,0,20,58,1412,16,0,3,6,157,397,312,100
39,22,10,16,18,9,7,0,0,5,23,5635,22,0,0,21,59,1413,0,1,4,7,158,398,330,114
40,30,33,29,45,32,8,0,0,6,24,5636,23,1,1,22,60,1414,1,0,5,8,159,399,132,209
29,13,18,7,40,37,9,1,1,7,25,5637,24,0,0,0,61,1415,2,1,6,9,160,400,411,144
11,17,45,18,49,26,10,0,2,8,26,5638,0,1,1,1,62,1416,3,0,0,10,161,401,023,166
42,16,18,14,12,17,11,0,0,9,27,5639,1,2,2,2,63,1417,4,0,1,11,162,402,132,119
30,17,14,37,43,9,12,0,1,10,28,5640,2,0,3,3,64,1418,5,0,2,12,163,403,222,150
9,31,8,44,40,18,13,0,2,11,29,5641,3,0,4,4,65,1419,6,0,3,13,164,404,222,150
42,19,18,15,9,28,14,0,0,0,30,5642,4,0,5,5,66,1420,0,1,4,14,165,405,240,131
20,49,38,48,2,12,15,0,1,1,31,5643,0,1,6,6,67,1421,1,0,0,15,166,406,023,169
39,12,41,34,35,22,16,0,2,2,32,5644,1,0,7,7,68,1422,2,0,1,16,167,407,222,183
30,47,13,42,37,3,17,0,0,3,33,5645,2,0,8,8,69,1423,3,1,2,17,168,408,231,172
47,48,30,9,17,29,18,0,0,4,34,5646,0,1,9,9,70,1424,4,0,0,18,169,409,033,180
18,38,14,24,20,36,19,0,0,5,35,5647,0,2,10,10,71,1425,5,0,0,19,170,410,033,150
36,2,9,45,37,24,20,0,0,0,36,5648,1,3,11,11,72,1426,6,1,1,20,171,411,141,153
31,21,1,48,14,46,21,0,1,1,37,5649,2,0,0,12,73,1427,7,2,2,21,172,412,321,161
26,21,11,22,34,28,22,1,2,2,38,5650,3,0,0,13,74,1428,8,0,3,22,173,413,312,142
42,27,22,8,12,36,23,0,0,0,39,5651,4,1,1,14,75,1429,9,1,4,23,174,414,141,147
5,36,42,34,37,1,24,0,1,1,40,5652,5,0,0,15,76,1430,10,2,5,24,175,415,321,155
39,21,29,38,17,46,25,0,2,2,41,5653,6,1,1,16,77,1431,11,0,0,25,176,416,123,190
1,14,30,10,40,31,26,1,3,3,42,5654,7,0,0,0,78,1432,12,1,1,26,177,417,411,126
24,3,9,29,7,17,27,0,0,4,43,5655,8,1,1,1,79,1433,13,0,2,27,178,418,132,89
20,27,6,22,14,38,28,0,1,5,44,5656,9,2,2,2,80,1434,14,0,0,28,179,419,123,127
29,46,3,20,23,26,29,1,2,6,45,5657,10,3,3,3,81,1435,15,0,0,0,180,420,114,147
23,15,7,34,42,22,30,0,3,7,46,5658,11,0,0,4,82,1436,16,1,1,1,181,421,321,143
41,36,38,25,19,45,31,0,4,8,47,5659,12,0,1,5,83,1437,17,0,2,2,182,422,222,204
45,11,42,33,32,14,32,0,0,9,48,5660,0,1,2,6,84,1438,18,0,0,3,183,423,033,177
23,10,14,18,49,39,33,0,1,10,49,5661,1,2,3,7,85,1439,19,0,1,4,184,424,122,153
15,29,37,3,12,47,34,0,0,11,50,5662,2,3,4,8,86,1440,20,0,2,5,185,425,132,143
16,48,40,41,31,14,35,1,1,12,51,5663,3,0,0,9,87,1441,21,0,3,6,186,426,312,190
47,49,5,2,25,21,36,2,2,13,52,5664,4,1,1,10,88,1442,22,0,0,7,187,427,113,149
17,23,30,20,27,5,37,0,3,14,53,5665,0,2,2,11,89,1443,23,0,0,0,188,428,024,122
12,40,47,43,20,25,38,1,4,15,54,5666,1,0,0,12,90,1444,24,0,1,1,189,429,312,187
47,40,12,34,48,42,39,0,0,16,55,5667,2,0,1,13,91,1445,25,1,2,2,190,430,231,223
38,4,44,27,49,48,40,0,1,17,56,5668,3,1,2,14,92,1446,26,0,3,3,191,431,122,210
16,3,9,8,45,18,41,0,0,0,57,5669,4,2,3,15,93,1447,27,1,4,4,192,432,141,99
31,39,24,41,16,48,42,0,0,1,58,5670,5,0,4,16,94,1448,28,2,5,5,193,433,231,199
41,47,45,48,22,35,43,0,1,2,59,5671,6,1,5,17,95,1449,29,0,0,6,194,434,123,238
22,5,19,16,43,18,44,1,2,3,60,5672,7,0,0,0,96,1450,30,1,1,7,195,435,411,123
6,4,33,16,39,17,45,0,0,4,61,5673,8,0,1,1,97,1451,31,2,2,8,196,436,231,115
5,43,6,35,28,33,46,0,1,5,62,5674,9,0,2,2,98,1452,32,0,3,9,197,437,222,150
48,44,15,20,40,3,47,0,0,6,63,5675,10,1,3,3,99,1453,33,0,4,10,198,438,132,170
35,22,21,2,42,40,48,0,1,7,64,5676,11,0,4,4,100,1454,34,0,5,11,199,439,222,162
21,45,42,30,40,16,49,0,0,0,65,5677,12,0,5,5,101,1455,0,1,6,12,200,440,240,194
23,1,5,17,25,44,0,1,1,1,66,5678,13,0,6,6,102,1456,1,0,0,0,201,441,204,115
46,1,42,34,4,23,1,2,2,2,67,5679,14,0,0,0,103,1457,2,1,1,1,202,442,411,150
13,31,3,48,45,46,2,0,0,3,68,5680,15,0,0,1,104,1458,0,2,2,2,203,443,330,186
25,21,7,5,36,41,3,0,1,4,69,5681,16,0,1,2,105,1459,1,0,3,3,204,444,222,135
