b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
2,37,48,33,43,4,4,0,1,42,71,3294,15,0,0,16,277,1185,35,2,4,4,9,404,321,167
18,27,41,25,32,34,5,0,2,43,72,3295,16,0,1,17,278,1186,36,0,5,5,10,405,222,177
11,19,27,15,4,24,6,0,0,44,73,3296,17,0,2,18,279,1187,37,1,6,6,11,406,231,100
2,31,40,45,43,16,7,1,1,45,74,3297,18,0,0,0,280,1188,38,2,7,7,12,407,411,177
38,24,18,6,44,49,8,0,0,46,75,3298,0,1,1,1,281,1189,39,0,8,8,13,408,032,179
48,25,37,42,16,15,9,0,0,47,76,3299,1,0,0,2,282,1190,0,1,9,9,14,409,330,183
24,43,47,18,42,23,10,0,0,48,77,3300,2,1,1,3,283,1191,1,0,10,10,15,410,132,197
40,42,15,31,34,33,11,0,0,49,78,3301,3,0,0,4,284,1192,0,1,11,11,16,411,330,195
27,28,33,24,37,1,12,0,0,50,79,3302,4,0,0,5,285,1193,0,2,12,12,17,412,330,150
9,11,48,15,23,39,13,0,0,0,80,3303,0,1,1,6,286,1194,1,0,13,13,18,413,042,145
28,46,8,14,32,9,14,1,1,1,81,3304,1,0,2,7,287,1195,2,0,0,14,19,414,213,137
35,18,36,10,28,40,15,0,2,2,82,3305,2,0,0,8,288,1196,3,1,1,15,20,415,321,167
44,36,47,11,5,49,16,1,3,3,83,3306,0,1,1,9,289,1197,4,0,0,0,21,416,014,192
25,22,20,14,23,48,17,2,4,4,84,3307,1,0,2,10,290,1198,5,0,0,1,22,417,213,152
33,48,15,32,23,20,18,0,0,5,85,3308,0,1,3,11,291,1199,6,0,0,2,23,418,033,171
23,14,42,37,26,2,19,1,1,6,86,3309,1,2,4,12,292,1200,7,0,0,0,24,419,114,144
26,8,6,37,23,11,20,2,2,7,87,3310,2,3,5,13,293,1201,8,0,0,0,25,420,114,111
36,4,24,31,48,7,21,0,0,8,88,3311,3,0,0,14,294,1202,0,1,1,1,26,421,330,150
43,18,42,17,38,13,22,0,1,9,89,3312,4,0,1,15,295,1203,1,0,2,2,27,422,222,171
34,48,16,11,49,22,23,1,2,10,90,3313,5,0,0,16,296,1204,2,1,3,3,28,423,311,180
34,35,11,14,4,12,24,2,3,11,91,3314,6,0,1,17,297,1205,3,0,0,4,29,424,213,110
33,26,27,36,47,5,25,0,0,12,92,3315,0,1,2,18,298,1206,4,0,0,5,30,425,033,174
13,47,28,1,17,33,26,1,1,13,93,3316,1,0,0,19,299,1207,5,0,1,6,31,426,312,139
24,14,36,49,41,28,27,0,2,14,94,3317,2,1,1,20,300,1208,6,0,2,7,32,427,122,192
44,23,43,40,11,8,0,1,3,15,95,3318,3,0,2,21,301,1209,7,0,0,0,33,428,204,169
44,13,14,15,40,18,1,0,4,16,96,3319,4,0,3,22,302,1210,8,0,1,1,34,429,222,144
4,6,3,13,43,41,2,0,5,17,97,3320,5,0,0,23,303,1211,9,1,2,2,35,430,321,110
32,14,2,18,40,37,3,1,6,18,98,3321,6,0,1,24,304,1212,10,0,0,3,36,431,213,143
32,14,26,27,40,21,4,0,7,19,99,3322,7,1,2,25,305,1213,11,0,0,4,37,432,123,160
5,30,45,21,8,16,5,0,0,20,100,3323,8,2,3,26,306,1214,12,0,1,5,38,433,132,125
40,25,36,30,24,8,6,0,0,21,101,3324,9,0,4,27,307,1215,13,1,2,6,39,434,231,163
39,32,14,28,15,6,7,0,0,22,102,3325,10,1,5,28,308,1216,14,0,3,7,40,435,132,134
31,24,29,23,47,26,8,1,1,23,103,3326,11,2,6,29,309,1217,15,0,0,0,41,436,114,180
22,42,30,14,38,43,9,0,2,24,104,3327,12,0,7,30,310,1218,16,0,1,1,42,437,222,189
35,21,33,42,38,9,10,0,0,0,105,3328,0,1,8,31,311,1219,17,0,2,2,43,438,042,178
15,26,17,8,29,6,11,0,1,1,106,3329,0,2,9,32,312,1220,18,0,0,0,44,439,024,101
10,20,18,33,43,35,12,0,2,2,107,3330,1,0,10,33,313,1221,19,0,1,1,45,440,222,159
7,21,37,28,29,11,13,1,3,3,108,3331,2,0,0,34,314,1222,20,0,2,2,46,441,312,133
3,36,16,44,20,9,14,0,0,4,109,3332,3,1,1,35,315,1223,21,0,3,3,47,442,132,128
26,48,23,9,1,33,15,0,0,5,110,3333,4,2,2,36,316,1224,22,0,4,4,48,443,132,140
11,35,22,33,41,23,16,1,1,6,111,3334,5,3,3,37,317,1225,23,0,0,0,49,444,114,165
9,45,42,38,1,35,17,0,0,7,112,3335,6,4,4,38,318,1226,24,0,1,1,50,445,132,170
7,32,28,11,6,31,18,1,1,8,113,3336,7,0,0,39,319,1227,25,0,2,2,51,446,312,115
1,13,17,35,43,2,0,2,2,9,114,3337,8,0,0,40,320,1228,26,0,0,3,52,447,303,111
22,17,8,19,45,38,1,3,3,10,115,3338,9,0,1,41,321,1229,27,0,0,4,53,448,213,149
8,34,16,24,29,19,2,4,4,11,116,3339,10,0,0,42,322,1230,28,0,1,5,54,449,312,130
28,32,20,24,38,21,3,0,5,12,117,3340,11,1,1,43,323,1231,29,0,0,6,55,450,123,163
21,24,23,16,15,44,4,0,0,13,118,3341,12,2,2,44,324,1232,30,0,1,7,56,451,132,143
17,49,13,5,14,41,0,1,1,14,119,3342,13,3,3,45,325,1233,31,0,0,0,57,452,104,139
5,25,18,39,48,37,1,0,0,15,120,3343,14,0,4,46,326,1234,32,1,1,1,58,453,231,172
11,20,37,31,3,4,2,1,1,16,121,3344,15,0,0,47,327,1235,33,0,2,2,59,454,312,106
43,44,47,31,19,7,0,2,2,17,122,3345,16,0,0,0,328,1236,34,0,3,3,60,455,402,191
39,9,34,42,20,4,1,0,0,18,123,3346,17,0,1,1,329,1237,35,1,4,4,61,456,231,148
26,34,18,49,33,2,2,0,1,19,124,3347,18,1,2,2,330,1238,36,0,5,5,62,457,122,162
20,14,31,40,6,13,3,1,2,20,125,3348,19,0,0,3,331,1239,37,0,6,6,63,458,312,124
49,38,2,31,32,4,0,2,3,21,126,3349,20,0,1,4,332,1240,38,0,0,7,64,459,203,156
15,32,26,49,30,34,1,0,4,22,127,3350,21,1,2,5,333,1241,39,0,1,8,65,460,122,186
49,47,24,36,40,30,2,0,0,23,128,3351,22,2,3,6,334,1242,40,1,2,9,66,461,131,226
9,19,16,49,11,29,3,1,1,24,129,3352,23,0,4,7,335,1243,41,0,3,10,67,462,212,133
48,12,3,36,7,39,4,0,0,0,0,3353,24,1,5,8,336,1244,0,1,4,11,68,463,150,145
15,42,10,1,41,45,5,0,0,1,1,3354,25,0,6,9,337,1245,1,2,5,12,69,464,231,154
1,15,14,26,31,9,6,0,1,2,2,3355,26,0,7,10,338,1246,2,0,6,13,70,465,222,96
11,17,36,28,25,30,6,0,1,2,2,3355,26,0,7,10,338,1246,2,0,6,13,70,465,222,147
34,28,42,20,11,44,8,1,3,4,4,3357,28,0,9,12,340,1248,4,0,0,15,72,467,213,179
25,34,37,48,35,22,9,2,4,5,5,3358,29,0,0,0,341,1249,5,1,1,16,73,468,411,201
41,1,17,25,38,34,0,3,5,6,6,3359,30,0,0,1,342,1250,6,0,0,17,74,469,303,156
39,20,31,11,32,19,1,4,6,7,7,3360,31,0,1,2,343,1251,7,0,0,18,75,470,213,152
14,40,27,45,29,12,2,0,0,8,8,3361,32,1,2,3,344,1252,8,0,1,19,76,471,132,167
39,31,45,26,23,42,3,0,0,9,9,3362,33,2,3,4,345,1253,9,0,2,20,77,472,132,206
47,27,38,19,32,1,4,1,1,10,10,3363,34,0,4,5,346,1254,10,0,0,21,78,473,213,164
