
logo
League 1576	
ResultsLeague Table
WEEK 1   20:40:00
BOU	2-0	SHU
ARS	1-1	LUT
ASV	4-0	FOR
CHE	4-2	EVE
CRY	2-1	LIV
BRI	2-4	MNC
FUL	1-0	BUR
MNU	2-1	TOT
WOL	1-1	BRN
WHU	1-3	NWC
WEEK 2   20:42:00
NWC	2-2	ASV
FOR	0-2	BRI
MNC	4-1	WOL
SHU	1-3	WHU
BRN	2-0	MNU
LIV	2-2	TOT
EVE	1-1	FUL
LUT	3-2	BOU
CRY	0-0	CHE
BUR	0-1	ARS
WEEK 3   20:44:00
TOT	4-0	BRN
BRI	0-3	NWC
CHE	1-2	LIV
WHU	3-0	LUT
MNU	2-2	MNC
ASV	2-0	SHU
WOL	0-0	FOR
FUL	2-3	CRY
ARS	4-2	EVE
BOU	4-1	BUR
WEEK 4   20:46:00
CHE	3-1	FUL
FOR	0-0	MNU
LUT	1-0	ASV
BUR	1-0	WHU
LIV	2-0	BRN
NWC	1-1	WOL
CRY	0-4	ARS
EVE	2-3	BOU
SHU	1-1	BRI
MNC	2-1	TOT
WEEK 5   20:48:00
MNU	1-3	NWC
BOU	0-2	CRY
WHU	2-2	EVE
ARS	1-1	CHE
BRI	3-1	LUT
FUL	1-1	LIV
TOT	3-2	FOR
WOL	1-1	SHU
ASV	2-0	BUR
BRN	0-1	MNC
WEEK 6   20:50:00
LUT	1-1	WOL
LIV	1-2	MNC
EVE	3-2	ASV
SHU	1-2	MNU
NWC	2-2	TOT
CHE	3-1	BOU
FOR	2-2	BRN
FUL	3-3	ARS
CRY	0-3	WHU
BUR	0-0	BRI
WEEK 7   20:52:00
ASV	1-3	CRY
TOT	0-0	SHU
BRI	1-0	EVE
MNU	4-0	LUT
ARS	1-1	LIV
WOL	1-0	BUR
WHU	4-0	CHE
BRN	0-1	NWC
MNC	4-1	FOR
BOU	0-0	FUL
WEEK 8   20:54:00
CRY	1-2	BRI
BUR	1-1	MNU
EVE	0-1	WOL
FUL	4-0	WHU
CHE	2-0	ASV
ARS	2-0	BOU
LIV	1-2	FOR
NWC	1-2	MNC
SHU	2-2	BRN
LUT	1-0	TOT
WEEK 9   20:56:00
MNC	0-0	SHU
ASV	2-0	FUL
WHU	1-3	ARS
WOL	1-1	CRY
MNU	4-0	EVE
BRI	3-2	CHE
BOU	2-4	LIV
FOR	2-3	NWC
BRN	0-1	LUT
TOT	3-0	BUR
WEEK 10   20:58:00
BOU	0-3	WHU
LUT	0-3	MNC
FUL	3-2	BRI
BUR	2-1	BRN
CRY	1-1	MNU
SHU	1-1	FOR
LIV	0-0	NWC
CHE	1-2	WOL
ARS	3-1	ASV
EVE	1-0	TOT
WEEK 11   21:00:00
MNU	2-2	CHE
ASV	4-1	BOU
FOR	3-2	LUT
NWC	0-2	SHU
WOL	2-0	FUL
TOT	3-0	CRY
MNC	3-1	BUR
BRN	2-2	EVE
WHU	3-1	LIV
BRI	0-0	ARS
WEEK 12   21:02:00
LIV	2-0	SHU
BUR	3-0	FOR
LUT	2-2	NWC
ARS	0-1	WOL
WHU	1-1	ASV
CHE	2-2	TOT
CRY	0-0	BRN
BOU	2-0	BRI
EVE	1-2	MNC
FUL	0-1	MNU
