league_id,week,hour,minutes,HT,AT,HCS,ACS,HL1S,AL1S,HL2S,AL2S,HL3S,AL3S,hl1_stat,al1_stat,hl2_stat,al2_stat,hl3_stat,al3_stat,h_wins,a_wins,h_draws,a_draws,h_loss,a_loss,h_gf,a_gf,h_ga,a_ga,h_gd,a_gd,hs_avg,as_avg,hw_rat,hl_rat,hd_rat,aw_rat,al_rat,ad_rat,ht_points,at_points,ht_pos,at_pos
6095,1,12,52,EVE,MNC,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,2,1,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,9,1
6095,1,12,52,BRN,TOT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,7,2
6095,1,12,52,BRI,FUL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,12
6095,1,12,52,LEI,WHU,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,19
6095,1,12,52,WOL,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6,5
6095,1,12,52,ASV,LIV,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,3,2,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,8,3
6095,1,12,52,CRY,FOR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,3,2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,14
6095,1,12,52,CHE,MNU,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,9
6095,1,12,52,LEE,BOU,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10,8
6095,1,12,52,SOU,NWC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,-2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,19,6
6095,2,12,54,FUL,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,12,10
6095,2,12,54,FOR,ASV,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,4,5,3,-4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,18,1
6095,2,12,54,NWC,LEI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1,5
6095,2,12,54,LIV,BRI,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,6,2,3,3,3,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,1,4
6095,2,12,54,MNC,CRY,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,6,3,1,5,5,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3,2,6
6095,2,12,54,ARS,EVE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,4,2,1,6,3,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,4,17
6095,2,12,54,BOU,SOU,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,2,4,4,0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,10,16
6095,2,12,54,WHU,WOL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,0,2,2,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,10,18
6095,2,12,54,CHE,LEE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,2,3,3,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,5,15
6095,2,12,54,MNU,TOT,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,6,2,4,3,2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,6,11
6095,3,12,56,CRY,ARS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,4,5,6,2,-2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,6,4
6095,3,12,56,SOU,CHE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,5,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,8,5
6095,3,12,56,ASV,MNC,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,8,8,5,5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,1,3
6095,3,12,56,LEI,BOU,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,7,4,2,9,5,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,2,14
6095,3,12,56,BRN,LIV,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,10,5,3,-5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,15,1
6095,3,12,56,EVE,WHU,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,4,4,7,4,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,12,14
6095,3,12,56,BRI,FOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,3,1,3,6,0,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,3,20
6095,3,12,56,LEE,MNU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,7,4,4,-2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,18,2
6095,3,12,56,TOT,FUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,0,3,1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,12,16
